# Automatisch aus den Spielrezepten abgeleitet (python3 preise_ableiten.py). Nicht von Hand aendern,
# Basispreise gehoeren nach preise.csv (die gewinnen immer). quelle: basis, rezept, muster oder rest.
item,name,wert,quelle
lime_banner,Lime Banner,62,rezept
lime_bed,Lime Bed,31,rezept
lime_candle,Lime Candle,16,rezept
lime_carpet,Lime Carpet,7,rezept
lime_concrete,Lime Concrete,5,muster
lime_concrete_powder,Lime Concrete Powder,4,rezept
lime_dye,Lime Dye,4,rezept
lime_glazed_terracotta,Lime Glazed Terracotta,9,rezept
lime_harness,Lime Harness,43,rezept
lime_shulker_box,Lime Shulker Box,401,rezept
lime_stained_glass,Lime Stained Glass,4,rezept
lime_stained_glass_pane,Lime Stained Glass Pane,2,rezept
lime_terracotta,Lime Terracotta,7,rezept
lime_wool,Lime Wool,9,rezept
lingering_potion,Lingering Potion,20,muster
lodestone,Lodestone,31,rezept
lodestone_compass,Lodestone Compass,200,muster
loom,Loom,16,rezept
magenta_banner,Magenta Banner,49,rezept
magenta_bed,Magenta Bed,29,rezept
magenta_candle,Magenta Candle,14,rezept
magenta_carpet,Magenta Carpet,6,rezept
magenta_concrete,Magenta Concrete,5,muster
magenta_concrete_powder,Magenta Concrete Powder,4,rezept
magenta_dye,Magenta Dye,2,rezept
magenta_glazed_terracotta,Magenta Glazed Terracotta,8,rezept
magenta_harness,Magenta Harness,41,rezept
magenta_shulker_box,Magenta Shulker Box,399,rezept
magenta_stained_glass,Magenta Stained Glass,4,rezept
magenta_stained_glass_pane,Magenta Stained Glass Pane,2,rezept
magenta_terracotta,Magenta Terracotta,6,rezept
magenta_wool,Magenta Wool,7,rezept
magma_block,Magma Block,8,basis
magma_cream,Magma Cream,21,rezept
mangrove_boat,Mangrove Boat,28,rezept
mangrove_button,Mangrove Button,6,rezept
mangrove_chest_boat,Mangrove Boat with Chest,61,rezept
mangrove_door,Mangrove Door,11,rezept
mangrove_fence,Mangrove Fence,9,rezept
mangrove_fence_gate,Mangrove Fence Gate,20,rezept
mangrove_hanging_sign,Mangrove Hanging Sign,28,rezept
mangrove_leaves,Mangrove Leaves,1,muster
mangrove_log,Mangrove Log,15,muster
mangrove_planks,Mangrove Planks,5,rezept
mangrove_pressure_plate,Mangrove Pressure Plate,11,rezept
mangrove_propagule,Mangrove Propagule,20,muster
mangrove_roots,Mangrove Roots,2,muster
mangrove_shelf,Mangrove Shelf,17,rezept
mangrove_sign,Mangrove Sign,12,rezept
mangrove_slab,Mangrove Slab,3,rezept
mangrove_stairs,Mangrove Stairs,9,rezept
mangrove_trapdoor,Mangrove Trapdoor,17,rezept
mangrove_wood,Mangrove Wood,22,rezept
map,Empty Map,137,rezept
medium_amethyst_bud,Medium Amethyst Bud,5,muster
melon,Melon,8,basis
melon_seeds,Melon Seeds,2,rezept
melon_slice,Melon Slice,1,basis
milk_bucket,Milk Bucket,70,basis
minecart,Minecart,111,rezept
miner_pottery_sherd,Miner Pottery Sherd,20,muster
mojang_banner_pattern,Banner Pattern,1655,rezept
moss_block,Moss Block,3,basis
moss_carpet,Moss Carpet,3,rezept
mossy_cobblestone,Mossy Cobblestone,2,basis
mossy_cobblestone_slab,Mossy Cobblestone Slab,1,rest
mossy_cobblestone_stairs,Mossy Cobblestone Stairs,2,rezept
mossy_cobblestone_wall,Mossy Cobblestone Wall,2,rezept
mossy_stone_brick_slab,Mossy Stone Brick Slab,2,rezept
mossy_stone_brick_stairs,Mossy Stone Brick Stairs,3,rezept
mossy_stone_brick_wall,Mossy Stone Brick Wall,3,rezept
mossy_stone_bricks,Mossy Stone Bricks,3,rezept
mourner_pottery_sherd,Mourner Pottery Sherd,20,muster
mud,Mud,1,basis
mud_brick_slab,Mud Brick Slab,2,rezept
mud_brick_stairs,Mud Brick Stairs,3,rezept
mud_brick_wall,Mud Brick Wall,3,rezept
mud_bricks,Mud Bricks,3,rezept
muddy_mangrove_roots,Muddy Mangrove Roots,4,rezept
mushroom_stem,Mushroom Stem,5,muster
mushroom_stew,Mushroom Stew,8,rezept
music_disc_11,Music Disc,30,muster
music_disc_13,Music Disc,30,muster
music_disc_5,Music Disc,496,rezept
music_disc_blocks,Music Disc,30,muster
music_disc_cat,Music Disc,30,muster
music_disc_chirp,Music Disc,30,muster
music_disc_creator,Music Disc,30,muster
music_disc_creator_music_box,Music Disc,30,muster
music_disc_far,Music Disc,30,muster
music_disc_lava_chicken,Music Disc,30,muster
music_disc_mall,Music Disc,30,muster
music_disc_mellohi,Music Disc,30,muster
music_disc_otherside,Music Disc,30,muster
music_disc_pigstep,Music Disc,30,muster
music_disc_precipice,Music Disc,30,muster
music_disc_relic,Music Disc,30,muster
music_disc_stal,Music Disc,30,muster
music_disc_strad,Music Disc,30,muster
music_disc_tears,Music Disc,30,muster
music_disc_wait,Music Disc,30,muster
music_disc_ward,Music Disc,30,muster
mutton,Raw Mutton,5,basis
mycelium,Mycelium,3,basis
name_tag,Name Tag,50,muster
nautilus_shell,Nautilus Shell,30,basis
nether_brick,Nether Brick,3,rezept
nether_brick_fence,Nether Brick Fence,12,rezept
nether_brick_slab,Nether Brick Slab,7,rezept
nether_brick_stairs,Nether Brick Stairs,14,rezept
nether_brick_wall,Nether Brick Wall,14,rezept
nether_bricks,Nether Bricks,14,rezept
nether_gold_ore,Nether Gold Ore,20,muster
nether_quartz_ore,Nether Quartz Ore,10,basis
nether_sprouts,Nether Sprouts,1,basis
nether_star,Nether Star,3000,muster
nether_wart,Nether Wart,6,basis
nether_wart_block,Nether Wart Block,3,basis
netherite_block,Block of Netherite,12633,rezept
netherite_ingot,Netherite Ingot,1276,rezept
netherite_scrap,Netherite Scrap,250,basis
netherite_spear,Netherite Spear,1,rest
netherite_upgrade_smithing_template,Smithing Template,300,rezept
netherrack,Netherrack,2,basis
note_block,Note Block,30,rezept
oak_boat,Oak Boat,22,rezept
oak_button,Oak Button,5,rezept
oak_chest_boat,Oak Boat with Chest,54,rezept
oak_door,Oak Door,9,rezept
oak_fence,Oak Fence,8,rezept
oak_fence_gate,Oak Fence Gate,18,rezept
oak_hanging_sign,Oak Hanging Sign,28,rezept
oak_leaves,Oak Leaves,1,muster
oak_log,Oak Log,15,basis
oak_planks,Oak Planks,4,basis
oak_pressure_plate,Oak Pressure Plate,9,rezept
oak_sapling,Oak Sapling,20,muster
oak_shelf,Oak Shelf,17,rezept
oak_sign,Oak Sign,10,rezept
oak_slab,Oak Slab,3,rezept
oak_stairs,Oak Stairs,7,rezept
oak_trapdoor,Oak Trapdoor,14,rezept
oak_wood,Oak Wood,22,rezept
observer,Observer,20,rezept
obsidian,Obsidian,120,basis
ochre_froglight,Ochre Froglight,15,muster
ominous_banner,Ominous Banner,1,rest
ominous_bottle,Ominous Bottle,20,muster
ominous_trial_key,Ominous Trial Key,200,muster
open_eyeblossom,Open Eyeblossom,2,muster
orange_banner,Orange Banner,56,rezept
orange_bed,Orange Bed,30,rezept
orange_candle,Orange Candle,15,rezept
orange_carpet,Orange Carpet,6,rezept
orange_concrete,Orange Concrete,5,muster
orange_concrete_powder,Orange Concrete Powder,4,rezept
orange_dye,Orange Dye,3,rezept
orange_glazed_terracotta,Orange Glazed Terracotta,8,rezept
orange_harness,Orange Harness,42,rezept
orange_shulker_box,Orange Shulker Box,400,rezept
orange_stained_glass,Orange Stained Glass,4,rezept
orange_stained_glass_pane,Orange Stained Glass Pane,2,rezept
orange_terracotta,Orange Terracotta,6,rezept
orange_tulip,Orange Tulip,2,muster
orange_wool,Orange Wool,8,rezept
oxeye_daisy,Oxeye Daisy,2,muster
oxidized_chiseled_copper,Oxidized Chiseled Copper,13,rezept
oxidized_copper,Oxidized Copper,51,muster
oxidized_copper_bars,Oxidized Copper Bars,4,muster
oxidized_copper_bulb,Oxidized Copper Bulb,49,rezept
oxidized_copper_chain,Oxidized Copper Chain,9,muster
oxidized_copper_chest,Oxidized Copper Chest,75,muster
oxidized_copper_door,Oxidized Copper Door,12,muster
oxidized_copper_golem_statue,Oxidized Copper Golem Statue,1,rest
oxidized_copper_grate,Oxidized Copper Grate,13,rezept
oxidized_copper_lantern,Oxidized Copper Lantern,14,muster
oxidized_copper_trapdoor,Oxidized Copper Trapdoor,23,muster
oxidized_cut_copper,Oxidized Cut Copper,13,rezept
oxidized_cut_copper_slab,Oxidized Cut Copper Slab,7,rezept
oxidized_cut_copper_stairs,Oxidized Cut Copper Stairs,13,rezept
oxidized_lightning_rod,Oxidized Lightning Rod,18,muster
packed_ice,Packed Ice,30,rezept
packed_mud,Packed Mud,2,basis
painting,Painting,22,rezept
pale_hanging_moss,Pale Hanging Moss,2,muster
pale_moss_block,Pale Moss Block,2,muster
pale_moss_carpet,Pale Moss Carpet,2,rezept
pale_oak_boat,Pale Oak Boat,28,rezept
pale_oak_button,Pale Oak Button,6,rezept
pale_oak_chest_boat,Pale Oak Boat with Chest,61,rezept
pale_oak_door,Pale Oak Door,11,rezept
pale_oak_fence,Pale Oak Fence,9,rezept
pale_oak_fence_gate,Pale Oak Fence Gate,20,rezept
pale_oak_hanging_sign,Pale Oak Hanging Sign,28,rezept
pale_oak_leaves,Pale Oak Leaves,1,muster
pale_oak_log,Pale Oak Log,15,muster
pale_oak_planks,Pale Oak Planks,5,rezept
pale_oak_pressure_plate,Pale Oak Pressure Plate,11,rezept
pale_oak_sapling,Pale Oak Sapling,20,muster
pale_oak_shelf,Pale Oak Shelf,17,rezept
pale_oak_sign,Pale Oak Sign,12,rezept
pale_oak_slab,Pale Oak Slab,3,rezept
pale_oak_stairs,Pale Oak Stairs,9,rezept
pale_oak_trapdoor,Pale Oak Trapdoor,17,rezept
pale_oak_wood,Pale Oak Wood,22,rezept
paper,Paper,4,rezept
pearlescent_froglight,Pearlescent Froglight,15,muster
peony,Peony,2,muster
phantom_membrane,Phantom Membrane,10,basis
piglin_banner_pattern,Banner Pattern,20,muster
piglin_head,Piglin Head,100,muster
pink_banner,Pink Banner,49,rezept
pink_bed,Pink Bed,29,rezept
pink_candle,Pink Candle,14,rezept
pink_carpet,Pink Carpet,6,rezept
pink_concrete,Pink Concrete,5,muster
pink_concrete_powder,Pink Concrete Powder,4,rezept
pink_dye,Pink Dye,2,rezept
pink_glazed_terracotta,Pink Glazed Terracotta,8,rezept
pink_harness,Pink Harness,41,rezept
pink_petals,Pink Petals,2,muster
pink_shulker_box,Pink Shulker Box,399,rezept
pink_stained_glass,Pink Stained Glass,4,rezept
pink_stained_glass_pane,Pink Stained Glass Pane,2,rezept
pink_terracotta,Pink Terracotta,6,rezept
pink_tulip,Pink Tulip,2,muster
pink_wool,Pink Wool,7,rezept
piston,Piston,40,rezept
pitcher_plant,Pitcher Plant,2,muster
pitcher_pod,Pitcher Pod,1,rest
plenty_pottery_sherd,Plenty Pottery Sherd,20,muster
podzol,Podzol,2,basis
pointed_dripstone,Pointed Dripstone,3,basis
poisonous_potato,Poisonous Potato,1,rest
polished_andesite,Polished Andesite,1,rest
polished_andesite_slab,Polished Andesite Slab,1,rest
polished_andesite_stairs,Polished Andesite Stairs,1,rest
polished_basalt,Polished Basalt,2,rezept
polished_blackstone,Polished Blackstone,3,rezept
polished_blackstone_brick_slab,Polished Blackstone Brick Slab,2,rezept
polished_blackstone_brick_stairs,Polished Blackstone Brick Stairs,3,rezept
polished_blackstone_brick_wall,Polished Blackstone Brick Wall,3,rezept
polished_blackstone_bricks,Polished Blackstone Bricks,3,rezept
polished_blackstone_button,Polished Blackstone Button,4,rezept
polished_blackstone_pressure_plate,Polished Blackstone Pressure Plate,7,rezept
polished_blackstone_slab,Polished Blackstone Slab,2,rezept
polished_blackstone_stairs,Polished Blackstone Stairs,3,rezept
polished_blackstone_wall,Polished Blackstone Wall,3,rezept
polished_deepslate,Polished Deepslate,2,rezept
polished_deepslate_slab,Polished Deepslate Slab,1,rest
polished_deepslate_stairs,Polished Deepslate Stairs,2,rezept
polished_deepslate_wall,Polished Deepslate Wall,2,rezept
polished_diorite,Polished Diorite,1,rest
polished_diorite_slab,Polished Diorite Slab,1,rest
polished_diorite_stairs,Polished Diorite Stairs,1,rest
polished_granite,Polished Granite,1,rest
polished_granite_slab,Polished Granite Slab,1,rest
polished_granite_stairs,Polished Granite Stairs,1,rest
polished_tuff,Polished Tuff,1,rest
polished_tuff_slab,Polished Tuff Slab,1,rest
polished_tuff_stairs,Polished Tuff Stairs,1,rest
polished_tuff_wall,Polished Tuff Wall,1,rest
popped_chorus_fruit,Popped Chorus Fruit,10,rezept
poppy,Poppy,2,muster
porkchop,Raw Porkchop,5,basis
potato,Potato,3,basis
potion,Potion,20,muster
potted_acacia_sapling,Potted Acacia Sapling,20,muster
potted_allium,Potted Allium,1,rest
potted_azalea_bush,Potted Azalea,2,muster
potted_azure_bluet,Potted Azure Bluet,2,muster
potted_bamboo,Potted Bamboo,1,rest
potted_birch_sapling,Potted Birch Sapling,20,muster
potted_blue_orchid,Potted Blue Orchid,2,muster
potted_brown_mushroom,Potted Brown Mushroom,2,muster
potted_cactus,Potted Cactus,1,rest
potted_cherry_sapling,Potted Cherry Sapling,20,muster
potted_closed_eyeblossom,Potted Closed Eyeblossom,1,rest
potted_cornflower,Potted Cornflower,1,rest
potted_crimson_fungus,Potted Crimson Fungus,2,muster
potted_crimson_roots,Potted Crimson Roots,2,muster
potted_dandelion,Potted Dandelion,1,rest
potted_dark_oak_sapling,Potted Dark Oak Sapling,20,muster
potted_dead_bush,Potted Dead Bush,2,muster
potted_fern,Potted Fern,1,rest
potted_flowering_azalea_bush,Potted Flowering Azalea,2,muster
potted_jungle_sapling,Potted Jungle Sapling,20,muster
potted_lily_of_the_valley,Potted Lily of the Valley,1,rest
potted_mangrove_propagule,Potted Mangrove Propagule,20,muster
potted_oak_sapling,Potted Oak Sapling,20,muster
potted_open_eyeblossom,Potted Open Eyeblossom,1,rest
potted_orange_tulip,Potted Orange Tulip,2,muster
potted_oxeye_daisy,Potted Oxeye Daisy,2,muster
potted_pale_oak_sapling,Potted Pale Oak Sapling,20,muster
potted_pink_tulip,Potted Pink Tulip,2,muster
potted_poppy,Potted Poppy,1,rest
potted_red_mushroom,Potted Red Mushroom,2,muster
potted_red_tulip,Potted Red Tulip,2,muster
potted_spruce_sapling,Potted Spruce Sapling,20,muster
potted_torchflower,Potted Torchflower,1,rest
potted_warped_fungus,Potted Warped Fungus,2,muster
potted_warped_roots,Potted Warped Roots,2,muster
potted_white_tulip,Potted White Tulip,2,muster
potted_wither_rose,Potted Wither Rose,2,muster
pottery_shard_archer,Archer Pottery Shard,1,rest
pottery_shard_arms_up,Arms Up Pottery Shard,1,rest
pottery_shard_prize,Prize Pottery Shard,1,rest
pottery_shard_skull,Skull Pottery Shard,100,muster
powder_snow_bucket,Powder Snow Bucket,70,basis
powered_rail,Powered Rail,45,rezept
prismarine,Prismarine,22,rezept
prismarine_brick_slab,Prismarine Brick Slab,25,rezept
prismarine_brick_stairs,Prismarine Brick Stairs,50,rezept
prismarine_bricks,Prismarine Bricks,50,rezept
prismarine_crystals,Prismarine Crystals,8,basis
prismarine_shard,Prismarine Shard,5,basis
prismarine_slab,Prismarine Slab,11,rezept
prismarine_stairs,Prismarine Stairs,22,rezept
prismarine_wall,Prismarine Wall,22,rezept
prize_pottery_sherd,Prize Pottery Sherd,20,muster
pufferfish,Pufferfish,6,basis
pufferfish_bucket,Bucket of Pufferfish,80,basis
pumpkin,Pumpkin,10,basis
pumpkin_pie,Pumpkin Pie,17,rezept
pumpkin_seeds,Pumpkin Seeds,3,rezept
purple_banner,Purple Banner,56,rezept
purple_bed,Purple Bed,30,rezept
purple_candle,Purple Candle,15,rezept
purple_carpet,Purple Carpet,6,rezept
purple_concrete,Purple Concrete,5,muster
purple_concrete_powder,Purple Concrete Powder,4,rezept
purple_dye,Purple Dye,3,rezept
purple_glazed_terracotta,Purple Glazed Terracotta,8,rezept
purple_harness,Purple Harness,42,rezept
purple_shulker_box,Purple Shulker Box,400,rezept
purple_stained_glass,Purple Stained Glass,4,rezept
purple_stained_glass_pane,Purple Stained Glass Pane,2,rezept
purple_terracotta,Purple Terracotta,6,rezept
purple_wool,Purple Wool,8,rezept
purpur_block,Purpur Block,6,basis
purpur_pillar,Purpur Pillar,6,rezept
purpur_slab,Purpur Slab,3,rezept
purpur_stairs,Purpur Stairs,6,rezept
quartz,Nether Quartz,6,basis
quartz_block,Block of Quartz,27,rezept
quartz_bricks,Quartz Bricks,27,rezept
quartz_pillar,Quartz Pillar,27,rezept
quartz_slab,Quartz Slab,14,rezept
quartz_stairs,Quartz Stairs,27,rezept
rabbit,Raw Rabbit,5,basis
rabbit_foot,Rabbit's Foot,20,basis
rabbit_hide,Rabbit Hide,3,basis
rabbit_stew,Rabbit Stew,21,rezept
rail,Rail,9,rezept
raiser_armor_trim_smithing_template,Smithing Template,300,rezept
raw_copper,Raw Copper,3,basis
raw_copper_block,Block of Raw Copper,30,rezept
raw_gold,Raw Gold,25,basis
raw_gold_block,Block of Raw Gold,248,rezept
raw_iron,Raw Iron,12,basis
raw_iron_block,Block of Raw Iron,119,rezept
recovery_compass,Recovery Compass,982,rezept
red_banner,Red Banner,49,rezept
red_bed,Red Bed,29,rezept
red_candle,Red Candle,14,rezept
red_carpet,Red Carpet,6,rezept
red_concrete,Red Concrete,5,muster
red_concrete_powder,Red Concrete Powder,4,rezept
red_dye,Red Dye,2,rezept
red_glazed_terracotta,Red Glazed Terracotta,8,rezept
red_harness,Red Harness,41,rezept
red_mushroom,Red Mushroom,2,basis
red_mushroom_block,Red Mushroom Block,5,muster
red_nether_brick_slab,Red Nether Brick Slab,10,rezept
red_nether_brick_stairs,Red Nether Brick Stairs,20,rezept
red_nether_brick_wall,Red Nether Brick Wall,20,rezept
red_nether_bricks,Red Nether Bricks,20,rezept
red_sand,Red Sand,3,basis
red_sandstone,Red Sandstone,4,basis
red_sandstone_slab,Red Sandstone Slab,2,rezept
red_sandstone_stairs,Red Sandstone Stairs,4,rezept
red_sandstone_wall,Red Sandstone Wall,4,rezept
red_shulker_box,Red Shulker Box,399,rezept
red_stained_glass,Red Stained Glass,4,rezept
red_stained_glass_pane,Red Stained Glass Pane,2,rezept
red_terracotta,Red Terracotta,6,rezept
red_tulip,Red Tulip,2,muster
red_wool,Red Wool,7,rezept
redstone,Redstone Dust,3,basis
redstone_block,Block of Redstone,30,basis
redstone_lamp,Redstone Lamp,30,rezept
redstone_ore,Redstone Ore,8,basis
redstone_torch,Redstone Torch,6,rezept
repeater,Redstone Repeater,20,rezept
resin_block,Block of Resin,1,rest
resin_brick,Resin Brick,1,rest
resin_brick_slab,Resin Brick Slab,1,rest
resin_brick_stairs,Resin Brick Stairs,1,rest
resin_brick_wall,Resin Brick Wall,1,rest
resin_bricks,Resin Bricks,1,rest
resin_clump,Resin Clump,5,rezept
respawn_anchor,Respawn Anchor,1040,rezept
rib_armor_trim_smithing_template,Smithing Template,300,rezept
rooted_dirt,Rooted Dirt,1,basis
rose_bush,Rose Bush,2,muster
rotten_flesh,Rotten Flesh,1,basis
saddle,Saddle,49,rezept
salmon,Raw Salmon,4,basis
salmon_bucket,Bucket of Salmon,80,basis
sand,Sand,3,basis
sandstone,Sandstone,4,basis
sandstone_slab,Sandstone Slab,2,rezept
sandstone_stairs,Sandstone Stairs,4,rezept
sandstone_wall,Sandstone Wall,4,rezept
scaffolding,Scaffolding,3,rezept
scrape_pottery_sherd,Scrape Pottery Sherd,20,muster
sculk,Sculk,8,basis
sculk_catalyst,Sculk Catalyst,50,basis
sculk_sensor,Sculk Sensor,30,basis
sculk_shrieker,Sculk Shrieker,40,basis
sculk_vein,Sculk Vein,3,basis
scute,Scute,1,rest
sea_lantern,Sea Lantern,66,rezept
sea_pickle,Sea Pickle,3,basis
seagrass,Seagrass,1,basis
sentry_armor_trim_smithing_template,Smithing Template,300,rezept
set_spawn,Respawn point set,1,rest
shaper_armor_trim_smithing_template,Smithing Template,300,rezept
sheaf_pottery_sherd,Sheaf Pottery Sherd,20,muster
shelter_pottery_sherd,Shelter Pottery Sherd,20,muster
short_dry_grass,Short Dry Grass,1,rest
short_grass,Short Grass,1,rest
shroomlight,Shroomlight,10,basis
shulker_box,Shulker Box,360,rezept
shulker_shell,Shulker Shell,150,basis
sign,Sign,1,rest
silence_armor_trim_smithing_template,Smithing Template,300,rezept
skeleton_skull,Skeleton Skull,100,muster
skull_banner_pattern,Banner Pattern,170,rezept
skull_pottery_sherd,Skull Pottery Sherd,20,muster
slime_ball,Slimeball,8,basis
slime_block,Slime Block,80,rezept
small_amethyst_bud,Small Amethyst Bud,5,muster
small_dripleaf,Small Dripleaf,2,basis
smithing_table,Smithing Table,58,rezept
smithing_template,Smithing Template,1,rest
smoker,Smoker,54,rezept
smooth_basalt,Smooth Basalt,3,rezept
smooth_quartz,Smooth Quartz Block,34,rezept
smooth_quartz_slab,Smooth Quartz Slab,17,rezept
smooth_quartz_stairs,Smooth Quartz Stairs,34,rezept
smooth_red_sandstone,Smooth Red Sandstone,5,rezept
smooth_red_sandstone_slab,Smooth Red Sandstone Slab,3,rezept
smooth_red_sandstone_stairs,Smooth Red Sandstone Stairs,5,rezept
smooth_sandstone,Smooth Sandstone,5,rezept
smooth_sandstone_slab,Smooth Sandstone Slab,3,rezept
smooth_sandstone_stairs,Smooth Sandstone Stairs,5,rezept
smooth_stone,Smooth Stone,2,rezept
smooth_stone_slab,Smooth Stone Slab,1,rest
sniffer_egg,Sniffer Egg,500,muster
snort_pottery_sherd,Snort Pottery Sherd,20,muster
snout_armor_trim_smithing_template,Smithing Template,300,rezept
snow,Snow,3,rezept
snow_block,Snow Block,5,rezept
snowball,Snowball,1,basis
soul_campfire,Soul Campfire,44,rezept
soul_lantern,Soul Lantern,31,rezept
soul_sand,Soul Sand,4,basis
soul_soil,Soul Soil,4,basis
soul_torch,Soul Torch,4,rezept
spectral_arrow,Spectral Arrow,10,rezept
spider_eye,Spider Eye,3,basis
spire_armor_trim_smithing_template,Smithing Template,300,rezept
splash_potion,Splash Potion,20,muster
sponge,Sponge,63,rezept
spore_blossom,Spore Blossom,5,basis
spruce_boat,Spruce Boat,28,rezept
spruce_button,Spruce Button,6,rezept
spruce_chest_boat,Spruce Boat with Chest,61,rezept
spruce_door,Spruce Door,11,rezept
spruce_fence,Spruce Fence,9,rezept
spruce_fence_gate,Spruce Fence Gate,20,rezept
spruce_hanging_sign,Spruce Hanging Sign,28,rezept
spruce_leaves,Spruce Leaves,1,muster
spruce_log,Spruce Log,15,basis
spruce_planks,Spruce Planks,5,rezept
spruce_pressure_plate,Spruce Pressure Plate,11,rezept
spruce_sapling,Spruce Sapling,20,muster
spruce_shelf,Spruce Shelf,17,rezept
spruce_sign,Spruce Sign,12,rezept
spruce_slab,Spruce Slab,3,rezept
spruce_stairs,Spruce Stairs,9,rezept
spruce_trapdoor,Spruce Trapdoor,17,rezept
spruce_wood,Spruce Wood,22,rezept
stick,Stick,2,rezept
sticky_piston,Sticky Piston,53,rezept
stone,Stone,1,basis
stone_brick_slab,Stone Brick Slab,1,rest
stone_brick_stairs,Stone Brick Stairs,1,rest
stone_brick_wall,Stone Brick Wall,1,rest
stone_bricks,Stone Bricks,1,rest
stone_button,Stone Button,2,rezept
stone_pressure_plate,Stone Pressure Plate,3,rezept
stone_slab,Stone Slab,1,rest
stone_spear,Stone Spear,6,rezept
stone_stairs,Stone Stairs,1,rest
stonecutter,Stonecutter,26,rezept
string,String,4,basis
stripped_acacia_log,Stripped Acacia Log,15,muster
stripped_acacia_wood,Stripped Acacia Wood,22,rezept
stripped_bamboo_block,Block of Stripped Bamboo,16,muster
stripped_birch_log,Stripped Birch Log,15,muster
stripped_birch_wood,Stripped Birch Wood,22,rezept
stripped_cherry_log,Stripped Cherry Log,15,muster
stripped_cherry_wood,Stripped Cherry Wood,22,rezept
stripped_crimson_hyphae,Stripped Crimson Hyphae,22,rezept
stripped_crimson_stem,Stripped Crimson Stem,15,muster
stripped_dark_oak_log,Stripped Dark Oak Log,15,muster
stripped_dark_oak_wood,Stripped Dark Oak Wood,22,rezept
stripped_jungle_log,Stripped Jungle Log,15,muster
stripped_jungle_wood,Stripped Jungle Wood,22,rezept
stripped_mangrove_log,Stripped Mangrove Log,15,muster
stripped_mangrove_wood,Stripped Mangrove Wood,22,rezept
stripped_oak_log,Stripped Oak Log,15,muster
stripped_oak_wood,Stripped Oak Wood,22,rezept
stripped_pale_oak_log,Stripped Pale Oak Log,15,muster
stripped_pale_oak_wood,Stripped Pale Oak Wood,22,rezept
stripped_spruce_log,Stripped Spruce Log,15,muster
stripped_spruce_wood,Stripped Spruce Wood,22,rezept
stripped_warped_hyphae,Stripped Warped Hyphae,22,rezept
stripped_warped_stem,Stripped Warped Stem,15,muster
sugar,Sugar,3,rezept
sugar_cane,Sugar Cane,3,basis
sunflower,Sunflower,2,muster
suspicious_gravel,Suspicious Gravel,1,rest
suspicious_sand,Suspicious Sand,1,rest
suspicious_stew,Suspicious Stew,10,rezept
sweet_berries,Sweet Berries,2,basis
tadpole_bucket,Bucket of Tadpole,80,basis
tall_dry_grass,Tall Dry Grass,1,rest
tall_grass,Tall Grass,1,rest
target,Target,47,rezept
terracotta,Terracotta,5,basis
tide_armor_trim_smithing_template,Smithing Template,300,rezept
tinted_glass,Tinted Glass,15,rezept
tipped_arrow,Tipped Arrow,20,muster
tnt,TNT,58,rezept
tnt_minecart,Minecart with TNT,186,rezept
torch,Torch,3,rezept
torchflower,Torchflower,2,muster
torchflower_seeds,Torchflower Seeds,2,muster
trapped_chest,Trapped Chest,46,rezept
trial_key,Trial Key,100,muster
tripwire_hook,Tripwire Hook,14,rezept
tropical_fish,Tropical Fish,6,basis
tropical_fish_bucket,Bucket of Tropical Fish,80,basis
tube_coral,Tube Coral,4,muster
tube_coral_block,Tube Coral Block,8,muster
tube_coral_fan,Tube Coral Fan,4,muster
tuff,Tuff,1,basis
tuff_brick_slab,Tuff Brick Slab,1,rest
tuff_brick_stairs,Tuff Brick Stairs,1,rest
tuff_brick_wall,Tuff Brick Wall,1,rest
tuff_bricks,Tuff Bricks,1,rest
tuff_slab,Tuff Slab,1,rest
tuff_stairs,Tuff Stairs,1,rest
tuff_wall,Tuff Wall,1,rest
turtle_egg,Turtle Egg,50,muster
turtle_scute,Turtle Scute,20,basis
twisting_vines,Twisting Vines,2,basis
verdant_froglight,Verdant Froglight,15,muster
vex_armor_trim_smithing_template,Smithing Template,300,rezept
vine,Vines,1,basis
wall_torch,Wall Torch,1,rest
ward_armor_trim_smithing_template,Smithing Template,300,rezept
warped_button,Warped Button,4,rezept
warped_door,Warped Door,7,rezept
warped_fence,Warped Fence,6,rezept
warped_fence_gate,Warped Fence Gate,16,rezept
warped_fungus,Warped Fungus,2,basis
warped_hanging_sign,Warped Hanging Sign,28,rezept
warped_hyphae,Warped Hyphae,15,rezept
warped_nylium,Warped Nylium,1,rest
warped_planks,Warped Planks,3,rezept
warped_pressure_plate,Warped Pressure Plate,7,rezept
warped_roots,Warped Roots,1,basis
warped_shelf,Warped Shelf,17,rezept
warped_sign,Warped Sign,8,rezept
warped_slab,Warped Slab,2,rezept
warped_stairs,Warped Stairs,5,rezept
warped_stem,Warped Stem,10,basis
warped_trapdoor,Warped Trapdoor,10,rezept
warped_wart_block,Warped Wart Block,3,basis
water_bucket,Water Bucket,100,basis
waxed_chiseled_copper,Waxed Chiseled Copper,16,rezept
waxed_copper_bars,Waxed Copper Bars,9,rezept
waxed_copper_block,Waxed Block of Copper,61,rezept
waxed_copper_bulb,Waxed Copper Bulb,57,rezept
waxed_copper_chain,Waxed Copper Chain,15,rezept
waxed_copper_chest,Waxed Copper Chest,87,rezept
waxed_copper_door,Waxed Copper Door,18,rezept
waxed_copper_golem_statue,Waxed Copper Golem Statue,1,rest
